,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-07-09 08:51:15,2026-07-08 11:40:03,3785,51.0,1602.0,148.0,1417.0,86.0,1422.0,6061,2026-05-07 09:18:24,2.2.0,661.0,4.0,30.0,Simple and extensible administrative interface framework for Flask.,33181.0,33181.0,391.0,34,True,1,,
1,django-unfold,unfoldadmin/django-unfold,django-admin-themes,https://github.com/unfoldadmin/django-unfold,https://github.com/unfoldadmin/django-unfold,MIT,2022-08-19 07:00:41,2026-07-08 08:52:10,2026-07-08 08:52:07,1481,140.0,356.0,32.0,1385.0,10.0,722.0,3549,2026-07-06 10:33:04,0.100.0,,,100.0,Modern Django Admin.,1911.0,1911.0,67.0,29,True,1,True,
2,django-jazzmin,farridav/django-jazzmin,django-admin-themes,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2026-06-25 21:05:32,2026-06-16 08:04:38,1149,3.0,319.0,38.0,342.0,145.0,173.0,1867,2026-06-25 21:05:32,3.0.5,,,36.0,Jazzy theme for Django.,17705.0,17705.0,80.0,29,True,1,True,
3,flask-appbuilder,dpgaspar/Flask-AppBuilder,miscellaneous,https://github.com/dpgaspar/Flask-AppBuilder,https://github.com/dpgaspar/Flask-AppBuilder,BSD-3-Clause,2013-11-09 21:13:29,2026-06-23 12:25:10,2026-06-23 11:48:58,4057,10.0,1400.0,150.0,1124.0,204.0,1140.0,4956,2026-06-23 12:25:10,5.2.2,,,59.0,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD..",,,228.0,27,True,1,,
4,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-07-08 09:41:20,2026-07-08 09:41:20,475,55.0,281.0,13.0,554.0,52.0,260.0,2763,2026-07-04 20:34:45,0.28.0,,,52.0,SQLAlchemy Admin for FastAPI and Starlette.,1887.0,1887.0,101.0,27,True,1,,smithyhq/sqladmin
5,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-themes,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2026-07-01 13:53:11,2026-05-11 10:06:09,1001,11.0,186.0,29.0,247.0,11.0,211.0,2040,2025-12-19 01:34:11,0.32.0,,,73.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",5302.0,5302.0,46.0,27,True,2,True,
6,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-07-01 05:13:52,2026-06-08 04:54:42,535,13.0,92.0,12.0,452.0,79.0,170.0,997,2026-06-06 20:10:17,0.16.1,,,57.0,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1098.0,1098.0,32.0,24,True,2,,
7,django-baton,otto-torino/django-baton,django-admin-themes,https://github.com/otto-torino/django-baton,https://github.com/otto-torino/django-baton,MIT,2017-02-10 12:54:24,2026-07-09 10:43:45,2026-07-02 14:11:37,1249,52.0,96.0,13.0,154.0,2.0,192.0,988,2026-02-22 13:31:11,5.1.2,,,64.0,"A cool, modern and responsive django admin application based on bootstrap 5 that brings AI to the Django admin -..",469.0,469.0,19.0,24,True,3,True,
8,django-grappelli,sehmaschine/django-grappelli,django-admin-themes,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2026-05-20 06:43:08,2026-04-29 09:16:00,1979,6.0,637.0,83.0,338.0,5.0,738.0,3942,,,,,,A jazzy skin for the Django Admin-Interface (official repository).,6924.0,6924.0,91.0,23,True,3,True,
9,django-jet,geex-arts/django-jet,django-admin-themes,https://github.com/geex-arts/django-jet,https://github.com/geex-arts/django-jet,AGPL-3.0,2015-07-29 21:35:35,2025-11-26 22:21:07,2025-11-26 22:21:06,892,,661.0,112.0,178.0,216.0,132.0,3624,2018-10-18 06:39:57,1.0.8,,,23.0,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce..,3395.0,3395.0,29.0,22,True,3,True,
10,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,458.0,44.0,51.0,61.0,73.0,3803,2021-08-31 03:28:51,1.0.3,,,16.0,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",512.0,512.0,19.0,21,True,2,,
11,django-suit,darklow/django-suit,django-admin-themes,https://github.com/darklow/django-suit,https://github.com/darklow/django-suit,,2013-02-17 11:59:33,2025-05-27 14:06:26,2025-05-27 14:06:21,768,,614.0,111.0,172.0,276.0,358.0,2409,,,,,,Modern theme for Django admin interface.,3357.0,3357.0,51.0,20,True,3,True,
12,fastadmin,vsdudakov/fastadmin,miscellaneous,https://github.com/vsdudakov/fastadmin,https://github.com/vsdudakov/fastadmin,MIT,2023-02-22 05:26:33,2026-07-08 11:42:36,2026-07-08 11:42:30,353,12.0,36.0,3.0,40.0,,93.0,312,2026-07-08 11:43:01,0.8.2,,,91.0,"Easy-to-use admin dashboard (admin panel) for FastAPI, Flask and Django, inspired by Django Admin. Works with Tortoise..",58.0,58.0,9.0,20,True,2,,
13,fastapi-amis-admin,amisadmin/fastapi-amis-admin,miscellaneous,https://github.com/amisadmin/fastapi-amis-admin,https://github.com/amisadmin/fastapi-amis-admin,Apache-2.0,2022-01-15 13:16:34,2025-12-15 02:03:44,2025-07-03 04:36:16,558,,216.0,20.0,50.0,70.0,90.0,1561,2025-03-19 12:49:41,0.7.3,,,56.0,"FastAPI-Amis-Admin is a high-performance, efficient and easily extensible FastAPI admin framework. Inspired by django-..",,,21.0,17,True,3,,
14,piccolo_admin,piccolo-orm/piccolo_admin,miscellaneous,https://github.com/piccolo-orm/piccolo_admin,https://github.com/piccolo-orm/piccolo_admin,MIT,2019-06-25 19:24:31,2026-06-19 22:00:19,2026-06-19 21:59:31,751,2.0,47.0,5.0,255.0,30.0,152.0,467,2026-06-19 22:00:19,1.14.0,,,65.0,A powerful web admin for your database.,,,23.0,17,True,3,,
15,crudadmin,benavlabs/crudadmin,miscellaneous,https://github.com/benavlabs/crudadmin,https://github.com/benavlabs/crudadmin,MIT,2024-05-12 21:24:43,2026-06-08 00:24:06,2026-06-08 00:22:04,209,22.0,30.0,8.0,57.0,2.0,18.0,449,2026-06-08 00:24:06,0.5.0,,,16.0,"Modern admin interface for FastAPI with built-in authentication, event tracking, and security features.",5.0,5.0,13.0,17,True,3,,
16,jet-bridge,jet-admin/jet-bridge,miscellaneous,https://github.com/jet-admin/jet-bridge,https://github.com/jet-admin/jet-bridge,MIT,2018-12-26 10:27:33,2026-06-15 16:36:58,2026-02-20 22:46:56,1841,,168.0,43.0,14.0,10.0,15.0,1794,,,,,,Jet Admin No-code Business App builder.,,,4.0,16,True,3,True,
17,django-smartbase-admin,SmartBase-SK/django-smartbase-admin,django-admin-themes,https://github.com/SmartBase-SK/django-smartbase-admin,https://github.com/SmartBase-SK/django-smartbase-admin,MIT,2024-03-11 08:05:36,2026-07-09 11:54:28,2026-07-09 11:48:22,583,161.0,10.0,1.0,198.0,2.0,1.0,125,2026-07-09 11:54:29,2.2.2,,,100.0,"SmartBase Admin application for Django. A modern, modular, and developer-friendly admin interface for Django. Built to..",3.0,3.0,17.0,14,True,3,True,
18,gino-admin,xnuinside/gino-admin,miscellaneous,https://github.com/xnuinside/gino-admin,https://github.com/xnuinside/gino-admin,MIT,2020-04-19 17:22:55,2023-02-08 02:36:38,2022-10-11 21:16:00,183,,9.0,3.0,46.0,6.0,5.0,49,,,,,,Admin Panel for GinoORM - ready to up & run (just add your models).,8.0,8.0,4.0,10,True,3,True,
19,revolve,self-evolving-runtimes/revolve,miscellaneous,https://github.com/self-evolving-runtimes/revolve,https://github.com/self-evolving-runtimes/revolve,MIT,2025-03-22 14:50:33,2025-06-24 18:57:56,2025-06-24 18:57:55,278,,4.0,5.0,41.0,,,229,2025-05-28 17:03:53,0.1,11.0,0.0,1.0,"Instantly generate full-stack admin panels, APIs, and UI from your database schemapowered by AI agents & LLMs and hope..",,,3.0,9,True,3,True,
20,oxyde-admin,mr-fatalyst/oxyde-admin,miscellaneous,https://github.com/mr-fatalyst/oxyde-admin,https://github.com/mr-fatalyst/oxyde-admin,MIT,2026-02-12 21:04:21,2026-07-08 20:51:07,2026-07-08 20:51:01,79,11.0,,,,2.0,1.0,41,2026-05-01 10:24:58,0.4.0,11.0,2.0,4.0,Oxyde Admin Auto-generated admin panel for Oxyde ORM with zero boilerplate.,,,,9,True,3,True,
21,ohmyadmin,alex-oleshkevich/ohmyadmin,miscellaneous,https://github.com/alex-oleshkevich/ohmyadmin,https://github.com/alex-oleshkevich/ohmyadmin,MIT,2022-04-12 17:54:00,2024-04-30 15:20:12,2024-04-30 15:19:40,499,,,2.0,2.0,2.0,2.0,1,2024-05-02 09:23:14,0.5.4,,,5.0,The framework to build back-office apps or admin panels for Starlette.,4.0,4.0,,7,True,3,,
