,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,projectrank_placing,trending
0,flask-admin,pallets-eco/flask-admin,miscellaneous,{},33201.0,33201.0,394.0,,9,False,1.0,
1,django-jazzmin,farridav/django-jazzmin,django-admin-themes,{},17726.0,17726.0,80.0,,8,False,1.0,
2,django-grappelli,sehmaschine/django-grappelli,django-admin-themes,{},6926.0,6926.0,91.0,,7,False,2.0,6.0
3,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-themes,{},5306.0,5306.0,46.0,,7,False,2.0,
4,sqladmin,aminalaee/sqladmin,miscellaneous,{},1905.0,1905.0,106.0,,6,False,1.0,
5,starlette-admin,jowilf/starlette-admin,miscellaneous,{},1102.0,1102.0,33.0,,6,False,1.0,
6,django-jet,geex-arts/django-jet,django-admin-themes,{},3396.0,3396.0,29.0,,6,False,3.0,
7,django-unfold,unfoldadmin/django-unfold,django-admin-themes,{},1941.0,1941.0,69.0,,6,False,3.0,
8,django-suit,darklow/django-suit,django-admin-themes,{},3358.0,3358.0,51.0,,6,False,3.0,
9,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,{},512.0,512.0,19.0,,4,False,2.0,
10,django-baton,otto-torino/django-baton,django-admin-themes,{},469.0,469.0,19.0,,4,False,3.0,
11,fastadmin,vsdudakov/fastadmin,miscellaneous,{},59.0,59.0,9.0,,3,False,2.0,
12,flask-appbuilder,dpgaspar/Flask-AppBuilder,miscellaneous,{},,,228.0,,2,False,3.0,
13,fastapi-amis-admin,amisadmin/fastapi-amis-admin,miscellaneous,{},,,21.0,,1,False,3.0,
14,piccolo_admin,piccolo-orm/piccolo_admin,miscellaneous,{},,,23.0,,1,False,3.0,
15,crudadmin,benavlabs/crudadmin,miscellaneous,{},5.0,5.0,13.0,,1,False,3.0,
16,ohmyadmin,alex-oleshkevich/ohmyadmin,miscellaneous,{},4.0,4.0,,,1,False,3.0,
17,gino-admin,xnuinside/gino-admin,miscellaneous,{},8.0,8.0,4.0,,1,False,3.0,
18,django-smartbase-admin,SmartBase-SK/django-smartbase-admin,django-admin-themes,{},3.0,3.0,17.0,,1,False,3.0,
19,jet-bridge,jet-admin/jet-bridge,miscellaneous,{},,,4.0,,0,False,,
20,revolve,self-evolving-runtimes/revolve,miscellaneous,{},,,3.0,,0,False,,
21,oxyde-admin,mr-fatalyst/oxyde-admin,miscellaneous,{},,,,,0,False,,
